gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3
Tspo2	1.093833503849215	0.6803014424219193	1.1864615845639674	-0.9103679684164565	-0.9894863100893716	-1.0607422523292733
Mgst2	0.9695686247866848	1.1136377167786318	0.8241666309593386	-0.5274437653220152	-1.0669429778900086	-1.3129862293126318
Ermap	1.1028405210408239	0.535580314603804	1.2841708948310748	-0.9857554281935053	-0.9539193667782419	-0.9829169355039566
Wfdc21	0.8731230876626437	0.8556200914737797	0.790293569359172	0.1809584865786296	-1.0311925842410539	-1.668802650833172
Atp8b4	0.9720797408320575	0.9190237634055528	1.0299747396006473	-0.5286954483122571	-1.131609131180545	-1.2607736643454555
Slpi	0.7430422980079291	0.8944503420191856	0.7299329309223183	0.09029933422820004	-0.49174481582357343	-1.9659800893540595
Cebpa	0.9014888379114439	1.1284516567262706	0.9151756409425866	-0.743099743432672	-0.8777001628047431	-1.324316229342886
Dmkn	1.0368697852152935	1.0517288649759793	0.8381437218010817	-0.5591458892904116	-1.1627998279860263	-1.2047966547159166
Ms4a3	1.0223178836676317	1.0483016118132547	0.8258315062493748	-0.5594469102524797	-0.9133968796740242	-1.423607211803757
Fbp1	0.918584967655718	1.1277971093016808	0.9466818303949261	-0.9880626639488788	-1.032383966004119	-0.9726172773993267
C3	0.8665413264868805	0.9435747479574986	1.0552378415347303	-0.39516974590643755	-1.0969221223420857	-1.3732620477305855
Svip	0.7928876364329356	1.0128867015546077	0.8808464660720021	-0.015061160144881748	-1.3539033560008522	-1.3176562879138114
Atp1b2	1.1225853236932606	0.5596114593080631	1.2493125052414318	-1.0051306595233602	-0.9561000062235319	-0.9702786224958642
Fcnb	0.7286552413004543	0.8662956382603044	0.99650930511892	0.08966498753295814	-1.092261653020528	-1.5888635191921092
Tceal8	1.0991356857264294	1.010088901690522	0.8090599951148439	-1.1181656576935552	-0.5489650523785689	-1.251153872459671
Mgst1	0.8118897149715877	1.1197095691384114	0.8606914628703494	-0.6160151438949188	-0.5409936845840192	-1.635281918501411
Smpdl3a	0.9417729094330192	1.0142357030585	0.8883667090909763	-0.4460674957970301	-0.8672820313933908	-1.5310257943920753
Ms4a6c	0.8605349398159147	0.9727699225528788	0.8651928560610415	-0.17038648484996413	-0.8517845542245842	-1.6763266793552867
Slc16a1	1.059515580520153	0.882704793568053	1.011633629670613	-1.2497680178399153	-1.0266593714128718	-0.6774266145060299
Gatm	0.8505905414984016	0.8578368049228502	0.9119678541266801	0.07188754488944471	-1.1466854000421967	-1.5455973453951792
Sgpp1	1.0156552654004127	0.8989906924082527	1.0082080071975226	-0.5866981048690794	-0.9799955500231375	-1.3561603101139725
Abcb4	1.101794710784276	0.5494326283137284	1.2758715613757294	-0.9760916085003485	-0.9621918795137507	-0.9888154124596352
B4galt6	1.0231756551215743	0.9438021019351231	1.0210763488007935	-0.8422275117561292	-1.0091983320354925	-1.1366282620658699
Prg2	0.7444308311267174	1.1030622210860115	0.5267215393937592	-0.2616908132779236	-0.14747686088102735	-1.9650469174475367
Mpeg1	0.7369922691053177	0.899779623754007	0.8918661466856366	0.1406207095929151	-0.9674996417351314	-1.7017591074027445
Gm2a	0.8228566471563591	1.0035755102242971	0.8362805091479469	-0.13835999749772068	-0.8088241779094294	-1.7155284911214548
Abcd2	0.9694261253227741	1.045991825879609	0.9826336988376435	-0.9465615758314254	-1.014331831711226	-1.0371582424973753
Ldhb	0.8898265279497062	1.1274382231140552	0.9719444199878567	-0.9060308663166852	-1.0123659398888307	-1.0708123648461028
Stom	0.9125023328427252	0.8855842401444476	0.9714322332463916	-0.16874616764622016	-1.1801469029887135	-1.4206257355986323
Gdf3	1.1506040455470008	0.9274094712548041	0.9120139900715217	-0.9440528766016935	-1.0206897910252255	-1.0252848392464078
Gbp3	1.0081107880766613	1.0584096589037724	0.9213127099835877	-0.9353462951377585	-0.8969362916811667	-1.155550570145096
Atp1a3	0.8530462563393608	1.0928962421243023	1.0295253647236295	-0.7867289608582517	-1.051149301064807	-1.1375896012642344
Mt2	1.2711068479415815	0.4843760545068788	1.0811988314559233	-0.9464200670036766	-1.3314084395125922	-0.5588532273881162
Alas1	0.7871741681273571	1.2334143951079526	0.9001709019237901	-0.7295783003547692	-0.8549496034958207	-1.3362315613085112
Card9	0.9505236749107331	1.123540204597079	0.8199871310305816	-0.5216164530713568	-1.380480847353235	-0.991953710113801
Clec4a2	0.7473006169907799	1.0948012152544215	0.8283206677178705	-0.0473365259070394	-1.0724758437142958	-1.5506101303417394
Tmem38b	0.9900288909028627	1.090160324947646	0.8617210927479562	-0.6151422225841486	-1.12151996324997	-1.2052481227643452
1700020L24Rik	0.8658776762083104	1.1965807996171816	0.9001474948243677	-0.7603776463996103	-1.0505880986342298	-1.1516402256160216
Mtus1	0.9808739771899435	1.0009727784709077	0.9897242529214589	-0.7161820233871151	-1.121401126324019	-1.1339878588711758
Gpc1	0.794508410432045	1.0160891953476336	0.9454687664224721	-0.14652603181450058	-1.2150827337393157	-1.3944576066483343
Gm15915	1.156777029151942	0.6456948662740449	1.0582921521546045	-1.4648293200264388	-0.7475705218255566	-0.6483642057285953
Vcam1	0.7856365339502743	0.7984604658586761	0.9726436854886014	0.1754076839756991	-1.2316956696062566	-1.500452699666995
I830127L07Rik	0.9179988436537497	1.1752121309974946	0.7834828755195667	-0.45588256522381937	-1.1001409562954356	-1.3206703286515564
Mgam	0.8939970529245276	0.9033270378910055	1.1688448110492926	-0.7548894471855804	-1.0618513222245485	-1.1494281324546969
Adgrl4	0.9691028748195795	1.0305532087832585	0.9192071438784313	-0.5809299818210653	-1.3731875254889199	-0.964745720171283
